Identifiant parcelle,Identifiant unité de gestion,Identifiant peuplement élémentaire,identifiant foret,"Code
 plle",Code UEP,surface retenue ,Date de description ,HET (% du couvert boisé),CHS (% du couvert boisé),CHP (% du couvert boisé),FRE (% du couvert boisé),CHT (% du couvert boisé),MER (% du couvert boisé),ERS (% du couvert boisé),ALT (% du couvert boisé),PEU (% du couvert boisé),CHR (% du couvert boisé),CHA (% du couvert boisé),BOU (% du couvert boisé),AUL (% du couvert boisé),TRE (% du couvert boisé),SAU (% du couvert boisé),TIL (% du couvert boisé),ERC (% du couvert boisé),A.F (% du couvert boisé),A.F : préciser essence,DOU (% du couvert boisé),P.S (% du couvert boisé),P.L (% du couvert boisé),EPC (% du couvert boisé),EPS (% du couvert boisé),S.P (% du couvert boisé),MEL (% du couvert boisé),A.R (% du couvert boisé),A.R : préciser essence,Total du couvert décrit en essences,Essence dominante 1,Essence dominante 2,Essence dominante 3,Essence déterminant la sylviculture,"Taux de vides non cartographiés
(%)",Structure et occupation du sol,"Type d'espace non boisé
 ou  hors sylviculture",Classe de catégorie de diamètre dominant,Type de peuplement,surf terrière moy,Classe de surface terrière,Année d'installation ,Âge réel en 2010,Classe d'âge en 2010,Présence des semis,Code dépérissement,Essence dépérissante,Durée de survie sanitaire du peuplmt,Risque mitaille,Dernier passage en coupe (EA),Type du dernier passage en coupe ,Proposition de Classement,Site écologique,Proposition d'ilôts de sénescence,Site d'acc public,Proposition même UG,Proposition de rotation ,Proposition de prochain passage,Observation UT,Classement,Groupe Aménagement,mode régé,ess obj,ess obj SIG,DRA,rotation retenue,1er passage,type de coupe,code UG
RETZ_00102,RETZ_00102_c,RETZ_00102_04,RETZ,102,4,"5,39",09/2010,60,,10,,,,,,,,25,2,,3,,,,,,,,,,,,,,,100,HET,CHA,,HET,,F,,M,FHETM,"22,5",4,,,100-129,,1,,,,2010,A3,AME,,,,,8,2018,,AME,AME2,,HET,HET,5,8,2018,A4,c
RETZ_00102,RETZ_00102_a,RETZ_00102_05,RETZ,102,5,"0,69",09/2010,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,CHT,,,CHT,,F,,M,FCHTM,"19,0",3+,1965,45,35-49,,1,,,,2010,A3,AME,,,,,8,2018,à grouper avec 101a,AME,AME1,,CHT,CHT,5,6,2017,A3,a
RETZ_00103,RETZ_00103_u,RETZ_00103_01,RETZ,103,1,"2,47",15/05/10,50,49,,,,,,,,,1,,,,,,,,,,,,,,,,,,100,HET,CHS,,CHS,,F,,T,FHETT,"17,5",3,,,130-159,CHS,2,HET,10,,2009,A5,REG1,,,,,,2014,pplt très ouvert,RBI,RBI,,CHS,CHS,8,,,,u
RETZ_00103,RETZ_00103_u,RETZ_00103_02,RETZ,103,2,"11,61",15/05/10,50,20,9,,,,,,,,10,10,1,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,M,FHETM,"22,5",4,,,35-49,,1,,,,2009,A2,AME,,,,,8,2017,,RBI,RBI,,HET/CHS,HET,,,,,u
RETZ_00103,RETZ_00103_u,RETZ_00103_03,RETZ,103,3,"7,91",15/05/10,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"26,0",5-,,,70-99,,1,,,,2009,A3,AME,,,,,8,2017,,RBI,RBI,,HET,HET,,,,,u
RETZ_00104,RETZ_00104_u,RETZ_00104_01,RETZ,104,1,"9,45",15/05/10,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,,,CHS,,F,,G+,FCHSG+,"26,0",5-,,,130-159,CHS,3,HET,15,1,2009,A5,REG1,,,,,,2013,travaux engagés sur bel ensemencement,RBI,RBI,,CHS,CHS,6,,,,u
RETZ_00105,RETZ_00105_u,RETZ_00105_01,RETZ,105,1,"13,33",6/05/12,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"27,5",5,,,70-99,,1,,,,2009,A3,AME,,,,,8,2017,,AME,AME2,,HET,HET,,7,2016,A3,u
RETZ_00106,RETZ_00106_a,RETZ_00106_01,RETZ,106,1,"11,62",6/05/12,70,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,CHS,,CHS,,F,,T,FHETT,"17,5",3,,,130-159,CHS,3,HET,10,,2010,RS,REGQ,,,,,,2014,,REG,REGQ,N,CHS,CHS,,,2014,RD,a
RETZ_00106,RETZ_00106_b,RETZ_00106_02,RETZ,106,2,"2,04",6/05/12,50,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,CHP,,CHP,,F,,T,FHETT,"31,0",6-,,,130-159,,2,HET,30,,2001,A4,REG1,,,,,,2014,,RBI,RBI,,HET,HET,,,,,b
RETZ_00107,RETZ_00107_a,RETZ_00107_01,RETZ,107,1,"15,86",28/07/10,94,5,,,,,,,,,1,,,,,,,,,,,,,, ,,,,100,HET,CHS,,HET,,F,,M,FHETM,"27,5",5,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,AME,AME2,,CHP,CHP,,8,2015,A3,a
RETZ_00107,RETZ_00107_a,RETZ_00107_02,RETZ,107,2,"3,61",28/07/10,19,30,,1,,,,,,,1,25,24,,,,,,,,,,,,,,,,100,CHS,BOU,AUL,CHS,,F,,M,FCHSM,"24,0",4+,,,50-69,,1,,,,2007,A3,AME,,,,,8,2015,un arbre remarquable non réper.,AME,AME2,,CHS,CHS,9,8,2015,A3,a
RETZ_00107,RETZ_00107_b,RETZ_00107_03,RETZ,107,3,"1,19",28/07/10,19,30,,1,,,,,,,1,25,24,,,,,,,,,,,,,,,,100,CHS,BOU,AUL,CHS,,F,,M,FCHSM,"24,0",4+,,,50-69,,1,,,,2007,A3,AME,,,,,8,2015,,AME,SIE,,P.L,P.L,,8,2015,A3,b
RETZ_00108,RETZ_00108_a,RETZ_00108_01,RETZ,108,1,"14,43",4/10/10,70,29,,,,,,,,,1,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"31,0",6-,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,AME,AME2,,HET,HET,5,8,2015,A3,a
RETZ_00108,RETZ_00108_d,RETZ_00108_03,RETZ,108,3,"1,04",4/10/10,70,29,,,,,,,,,1,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"31,0",6-,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,ILS,ILS,,HET,HET,,,,,d
RETZ_00108,RETZ_00108_b,RETZ_00108_04,RETZ,108,4,"3,06",4/10/10,70,29,,,,,,,,,1,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"31,0",6-,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,AME,SIE,,HET,HET,,,,,b
RETZ_00108,RETZ_00108_c,RETZ_00108_02,RETZ,108,2,"0,71",4/10/10,10,1,,,,,,,,,,,,,,,,,,,,89,,,,,,,100,P.L,,,P.L,,F,,M,FP.LM,"27,5",5,,,25-34,,1,,,,1999,A3,AME,,,,,6,2013,à grouper avec 111b,AME,AME1,,P.L,P.L,5,6,2013,A3,c
RETZ_00109,RETZ_00109_a,RETZ_00109_01,RETZ,109,1,"13,81",30/11/10,80,10,,,,,,,,,5,5,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"27,5",5,,,70-99,,1,,,,2007,A3,AME,,,,,,,Diamétres sur l'UEP très irréguliers,AME,AME2,,HET,HET,5,7,2013,A3,a
RETZ_00109,RETZ_00109_b,RETZ_00109_02,RETZ,109,2,"0,76",30/11/10,80,10,,,,,,,,,5,5,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"27,5",5,,,70-99,,1,,,,2007,A3,AME,,,,,,,Diamétres sur l'UEP très irréguliers,ILS,ILS,,HET,HET,,,,,b
RETZ_00110,RETZ_00110_u,RETZ_00110_01,RETZ,110,1,"11,31",24/11/10,39,40,,,,1,,,,,20,,,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,G-,FHETG-,"24,0",4+,,,70-99,CHS,1,,,,2010,A4,REG1,,,,,,2013(RCV),G av exploitation,AME,AME2,,HET,HET,,8,2018,A3,u
RETZ_00111,RETZ_00111_a,RETZ_00111_01,RETZ,111,1,"13,45",2/12/10,60,20,,,,,,,,,1,19,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"22,5",4,1980,30,25-34,,1,,,,2009,A2,AME,,,,,8,2018,COUPE 2009 PAS ENCORE EXPLOITEE,AME,AME2,,HET,HET,,7,2016,A3,a
RETZ_00111,RETZ_00111_a,RETZ_00111_02,RETZ,111,2,"3,26",2/12/10,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHP,,,CHP,,F,,P,FCHPP,"16,0",3-,1967,43,35-49,,1,,,,2009,A2,AME,,,,,8,2018,Diagnostiquée COUPE 2009 PAS ENCORE EXPLOITEE,AME,AME2,,CHP,CHP,5,7,2016,A3,a
RETZ_00111,RETZ_00111_b,RETZ_00111_03,RETZ,111,3,"2,56",2/12/10,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,P.L,,,P.L,,F,,M,FP.LM,"37,5",7,,,35-49,,1,,,,,,AME,,,,,6,2013,à grouper avec 108c,AME,AME1,,P.L,P.L,5,6,2013,A1,b
RETZ_00112,RETZ_00112_u,RETZ_00112_01,RETZ,112,1,"10,71",8/03/11,70,25,,,,,,,,,1,4,,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,P,FHETP,"27,5",5,,,35-49,,1,,,,2011,A2,AME,,,,,8,2019,G MESUREE AVANT COUPE,AME,AME1,,HET,HET,5,6,2017,A3,u
RETZ_00113,RETZ_00113_a,RETZ_00113_01,RETZ,113,1,"4,67",07/07/09,5,74,,,,,,,,,,1,20,,,,,,,,,,,,,,,,100,CHS,AUL,,CHS,,F,,P,FCHSP,"19,0",3+,1972,38,35-49,,1,,,,2011,A2,AME,,,,,8,2019,,AME,AME1,,CHS,CHS,,6,2017,A3,a
RETZ_00113,RETZ_00113_a,RETZ_00113_02,RETZ,113,2,"10,31",10/01/11,20,10,,,,,,,,,10,40,,,,,,,,,20,,,,,,,,100,BOU,HET,,HET,30,F,,S,FBOUS,"0,0",0,,10,0-24,,1,,,,2012,RD,AME,,,,,8,2019,EA 2017 A1 SUR 2/3 DE LA SURFACE,AME,AME1,,HET/CHS,HET,,6,2017,A1,a
RETZ_00113,RETZ_00113_b,RETZ_00113_03,RETZ,113,3,"0,64",07/07/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,V,ACP,,VACP,"0,0",NC,,,NC,,1,,,,,,,,,,,,,MF BOIS HARIEZ,HSY,HSY,,SANS,SANS,,,,,b
RETZ_00113,RETZ_00113_b,RETZ_00113_04,RETZ,113,4,"0,46",07/07/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,V,EMP,,VEMP,"0,0",NC,,,NC,,1,,,,,,,,,,,,,RELAI TRANSMISSION MILITAIRE,HSY,HSY,,SANS,SANS,,,,,b
RETZ_00113,RETZ_00113_c,RETZ_00113_05,RETZ,113,5,"2,07",40627,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,HET,,CHS,40,F,,T,FCHST,"27,5",5,,,100-129,,1,,,,2008,PA,AME,,,1,,,,,ILV,ILV,,CHS,CHS,,10,2018,A4,c
RETZ_00114,RETZ_00114_a,RETZ_00114_01,RETZ,114,1,"9,28",10/01/11,25,10,,10,2,,,,,,3,20,20,,,,,,,,,10,,,,,,,100,HET,AUL,,HET,40,F,,P,FHETP,"22,5",4,,,0-24,,1,,,,2010,A2,AME,,,,,8,2018,"dont 2,6 ha EPS RD EA09 reste perchis feuillu",AME,AME1,,AUL/CHP,A.F,,6,2018,A3,a
RETZ_00114,RETZ_00114_b,RETZ_00114_02,RETZ,114,2,"3,88",10/01/11,,,,,,,,,,,,15,,,,,,,,1,,1,,,,84,,,100,MEL,,,MEL,,F,,M,FMELM,"22,5",4,1965,45,35-49,,1,,,,2010,A2,AME,,,,,6,2016,,AME,AME1,,P.L,P.L,7,6,2018,A3,b
RETZ_00114,RETZ_00114_d,RETZ_00114_03,RETZ,114,3,"3,63",10/01/11,40,30,,,,,,,,,,20,,,,,,,,,10,,,,,,,,100,BOU,,,HET,,F,,1,FBOU1,"22,5",4,,,160 et +,,2,HET,20,,2006,PA,AME,,1,1,,,,,HSN,HSN,,HET,HET,,,,,d
RETZ_00114,RETZ_00114_c,RETZ_00114_04,RETZ,114,4,"4,28",10/01/11,40,30,,,,,,,,,,20,,,,,,,,,10,,,,,,,,100,HET,CHS,,HET,,F,,T,FHETT,"22,5",4,,,160 et +,,2,HET,20,,2006,PA,AME,,1,1,,,,PRESENCE TABLES/BANCS EN PIERRE,ILS,ILS,,HET,HET,,,,,c
RETZ_00115,RETZ_00115_u,RETZ_00115_01,RETZ,115,1,"14,32",8/03/11,60,35,,,,,,,,,2,3,,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,P,FHETP,"27,5",5,1970,40,35-49,,1,,,,2011,A2,AME,,,,,8,2019,G MESUREE AVANT COUPE,AME,AME1,,HET/CHS,HET,,6,2017,A3,u
RETZ_00116,RETZ_00116_a,RETZ_00116_01,RETZ,116,1,"9,24",27/09/10,92,5,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,M,FHETM,"19,0",3+,,,35-49,,1,,,,2009,A3,AME,,,,,8,2017,,AME,AME2,,HET,HET,5,7,2016,A3,a
RETZ_00116,RETZ_00116_b,RETZ_00116_02,RETZ,116,2,"3,70",27/09/10,,,,,,,,,,,,30,,,,,,,,,,70,,,,,,,100,P.L,,,P.L,,F,,M,FP.LM,"31,0",6-,,34,25-34,,1,,,,,,AME,,,,,6,2013,A GROUPER avec 119,AME,AME1,,P.L,P.L,5,6,2013,A1,b
RETZ_00117,RETZ_00117_a,RETZ_00117_01,RETZ,117,1,"4,71",1/09/10,50,45,5,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,HET,,CHS,,F,,P,FCHSP,"17,5",3,1976,34,25-34,,1,,,,2009,A2,AME,,,,,8,2017,,AME,AME2,,CHS,CHS,7,7,2016,A2,a
RETZ_00117,RETZ_00117_b,RETZ_00117_02,RETZ,117,2,"0,96",1/09/10,10,,,,,,,,,,,10,,,,,,,,,,80,,,,,,,100,P.L,,,P.L,,F,,M,FP.LM,"22,5",4,1976,34,25-34,,1,,,,,,AME,,,,,6,2013,A GROUPER avec 119,AME,AME1,,P.L,P.L,5,6,2013,A1,b
RETZ_00117,RETZ_00117_a,RETZ_00117_03,RETZ,117,3,"15,01",1/09/10,70,15,,4,,,,,,,1,10,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,M,FHETM,"22,5",4,1967,43,35-49,,1,,,,2009,A3,AME,,,,,8,2017,,AME,AME2,,HET,HET,,7,2016,A3,a
RETZ_00118,RETZ_00118_u,RETZ_00118_01,RETZ,118,1,"13,73",1/09/10,50,26,,,,,1,,,,1,20,,1,,,,,,,,1,,,,,,,100,HET,CHS,,HET,,F,,P,FHETP,"29,0",5+,1980,30,25-34,,1,,,,2012,A2,AME,,,,,8,2012,,AME,AME1,,HET,HET,5,6,2018,A3,u
RETZ_00119,RETZ_00119_u,RETZ_00119_01,RETZ,119,1,"9,46",1/12/10,,,,,,,,,,,,1,,,,,,,,,,95,,,,4,,,100,P.L,,,P.L,,F,,M,FP.LM,"32,5",6,1976,34,25-34,,1,,,,2004,A2,AME,,,,,6,2013,A GROUPER avec 116-117…,AME,AME1,,P.L,P.L,5,6,2013,A3,u
RETZ_00120,RETZ_00120_u,RETZ_00120_01,RETZ,120,1,"5,31",17/05/10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,M,FHETM,"32,5",6,1966,44,35-49,,1,,,,2012,A2,AME,,,,,8,2012,ISSU PLT EN LIGNES,AME,AME2,,HET,HET,5,7,2019,A3,u
RETZ_00120,RETZ_00120_u,RETZ_00120_02,RETZ,120,2,"8,30",17/05/10,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"19,0",3+,1975,35,35-49,,1,,,,2012,A2,AME,,,,,8,2012,ISSU PLT EN BANDES,AME,AME2,,HET,HET,5,7,2019,A3,u
RETZ_00121,RETZ_00121_a,RETZ_00121_01,RETZ,121,1,"9,76",28/11/10,80,,10,,1,,,,,,,8,,1,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"37,5",7,1975,35,35-49,,1,,,,2012,A2,AME,,,,,8,2020,ISSU PLT EN BANDES,AME,AME1,,HET,HET,5,6,2018,A3,a
RETZ_00121,RETZ_00121_b,RETZ_00121_02,RETZ,121,2,"1,90",28/11/10,,,,,,,,,,,,10,,,,,,,,45,,45,,,,,,,100,P.L,DOU,,P.L,,F,,M,FP.LM,"34,0",6+,1941,69,50-69,,1,,,,2010,A3,AME,,,,,6,2019,A GROUPER. PINS PLANTES EN 1975 SUITE A INCENDIE,AME,AME2,,P.L,P.L,,6/8,2016,A3,b
RETZ_00122,RETZ_00122_a,RETZ_00122_01,RETZ,122,1,"4,37",08/03/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,R,RAS,,RRAS,"0,0",0,,,0-24,,1,,,,2010,RA,AME,,,,,,,POUR PLANTATION HIVER 2011/2012,AME,AMEJ,,HET,HET,5,,/,,a
RETZ_00122,RETZ_00122_b,RETZ_00122_02,RETZ,122,2,"2,75",10/03/11,60,,30,,,,,,,,,10,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1986,24,0-24,,1,,,,,,AME,,,,,8,2021,GROUPEE; enlévement loups à faire en MP d'ici 2021,AME,AME1,,HET,HET,5,5/6,2013,A1,b
RETZ_00122,RETZ_00122_a,RETZ_00122_03,RETZ,122,3,"2,06",08/03/11,30,,40,,,,,,,,30,,,,,,,,,,,,,,,,,,100,CHP,HET,,CHP,,F,,S,FCHPS,"0,0",0,2009,1,0-24,,1,,,,2012,RD,AME,,,,,,,,AME,AMEJ,,CHS,CHS,5,,/,,a
RETZ_00123,RETZ_00123_a,RETZ_00123_01,RETZ,123,1,"2,98",24/11/10,100,,0,,,,,,,,0,0,,,,,,,,,0,0,0,,,,,,100,HET,,,HET,,F,,1,FHET1,"17,5",3,1978,32,25-34,,1,,,,2009,A1,AME,,,,,8,2016,idem diagnos. P125cloiso; G APRES COUPE A1,AME,AME1,,HET,HET,,6,2016,A2,a
RETZ_00123,RETZ_00123_b,RETZ_00123_02,RETZ,123,2,"7,11",24/11/10,75,,20,,,,,,,,1,1,,,,,,,,,1,1,1,,,,,,100,HET,CHP,,HET,,F,,M,FHETM,"27,5",5,,,160 et +,,3,CHS,20,,2009,RCV,REGQ,,,,,8,2013,,REG,REGQ,N,HET,HET,5,,2013,RS,b
RETZ_00123,RETZ_00123_c,RETZ_00123_03,RETZ,123,3,"1,80",24/11/10,20,50,,,,,,,,,20,7,,,,,,,,,1,2,,,,,,,100,CHS,,,CHS,,F,,M,FCHSM,"7,5",1,,,35-49,,1,,,,,,AME,,,,,,2014,"dont 0,35 ha CHP issu plt dia. 30/35; GROUPEE",ILV,ILV,,CHS,CHS,5,10,2015,A3,c
RETZ_00124,RETZ_00124_a,RETZ_00124_01,RETZ,124,1,"4,95",14/04/11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"17,5",3,1978,32,25-34,,1,,,,2009,A1,AME,,,,,8,2016,A1 EN MP EN GRANDE PIE,AME,AME1,,HET,HET,5,6,2016,A2,a
RETZ_00124,RETZ_00124_a,RETZ_00124_02,RETZ,124,2,"5,48",14/04/11,20,30,,,10,10,,,,,5,20,,2,3,,,,,,,,,,,,,,100,CHS,HET,,CHS,20,F,,E,FCHSE,"0,0",0,1985,25,25-34,,1,,,,,,AME,,,,,8,2021,GROUPEE,AME,AME1,,CHS,CHS,5,6,2022,A1,a
RETZ_00124,RETZ_00124_b,RETZ_00124_03,RETZ,124,3,"2,76",14/04/11,30,30,30,,,,,,,,5,5,,,,,,,,,,,,,,,,,100,CHE,,,CHE,60,F,,S,FCHES,"0,0",0,2009,1,0-24,,1,,,,?,RD,AME,,,,,,,1b BDR 2010; POUR ENGRILLAGEMENT ET PLANTATION COMPLEMENT CHT,AME,AMEJ,,CHS,CHS,5,,/,,b
RETZ_00125,RETZ_00125_a,RETZ_00125_01,RETZ,125,1,"10,55",29/07/10,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"17,5",3,1978,32,25-34,,1,,,,2009,A1,AME,,,,,6,2014,DIAGNOSTIQUEE,AME,AME1,,HET,HET,5,6,2016,A2,a
RETZ_00125,RETZ_00125_a,RETZ_00125_02,RETZ,125,2,"3,55",29/07/10,30,5,,20,,5,20,,,,10,5,,5,,,,,,,,,,,,,,,100,HET,FRE,,HET,15,F,,E,FHETE,"17,5",3,1989,21,0-24,,1,,,,,,AME,,,,,6,2020,,AME,AME1,,HET,HET,5,6,2016,A1,a
RETZ_00125,RETZ_00125_b,RETZ_00125_03,RETZ,125,3,"0,81",29/07/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,V,CYN,,VCYN,"0,0",NC,,,NC,,1,,,,,,,,,,,,,ANCIENNE CULTURE A GIBIER,HSN,HSN,,SANS,SANS,5,,,,b
RETZ_00126,RETZ_00126_a,RETZ_00126_01,RETZ,126,1,"6,12",28/07/10,30,30,,,,,,,,,30,10,,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,T,FHETT,"24,0",4+,,,160 et +,,1,,,,2009,RS,REGQ,,,,,,2013,,REG,REGQ,N,HET,HET,,,2013,RS,a
RETZ_00126,RETZ_00126_b,RETZ_00126_04,RETZ,126,4,"0,17",28/07/10,30,30,,,,,,,,,30,10,,,,,,,,,,,,,,,,,100,HET,CHS,,HET,,F,,T,FHETT,"24,0",4+,,,160 et +,,1,,,,2009,RS,REGQ,,,,,,2013,Orme à préserver,AME,ILP,,HET,HET,,10,2019,AS,b
RETZ_00126,RETZ_00126_c,RETZ_00126_02,RETZ,126,2,"5,50",28/07/10,50,20,,,1,,,,,,25,4,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1995,15,0-24,,1,,,,,,AME,,,,,6,2021,GROUPEE; enlévement loups à faire en MP d'ici 2021,AME,AME1,,HET,HET,,5/6,2020,A1,c
